meeting_id,sex,age_group,race_title,min_time
237199,2,1,HM,115.50833333333333
237199,2,0,HM,107.0
237199,2,0,HM,79.56666666666666
237199,2,2,HM,111.88333333333334
237199,2,2,HM,117.25
237199,2,3,HM,112.01666666666668
237199,2,3,HM,115.2
237199,2,4,HM,116.88333333333334
237199,2,4,HM,133.89166666666668
237199,2,5,HM,139.58333333333334
237199,2,5,HM,143.15
237199,1,1,HM,129.66666666666669
237199,1,0,HM,148.10833333333335
237199,1,2,HM,134.25
237199,1,2,HM,140.54166666666669
237199,1,3,HM,134.64999999999998
237199,1,3,HM,129.6
237199,1,4,HM,138.38333333333333
237199,1,4,HM,148.95833333333331
237199,1,5,HM,122.03333333333332
264167,2,1,HM,101.75
264167,2,0,HM,101.75
264167,2,0,HM,96.44166666666666
264167,2,2,HM,97.78333333333332
264167,2,2,HM,108.16666666666669
264167,2,3,HM,107.7
264167,2,3,HM,103.56666666666666
264167,2,4,HM,108.81666666666666
264167,2,5,HM,113.475
264167,2,5,HM,118.01666666666668
264167,1,1,HM,113.82499999999999
264167,1,0,HM,98.8
264167,1,0,HM,126.16666666666669
264167,1,2,HM,111.36666666666666
264167,1,2,HM,124.36666666666666
264167,1,3,HM,132.68333333333334
264167,1,3,HM,122.81666666666666
264167,1,4,HM,128.86666666666667
264167,1,4,HM,143.6
264167,1,5,HM,146.96666666666667
264179,2,1,HM,103.70833333333334
264179,2,0,HM,83.7
264179,2,0,HM,72.53333333333333
264179,2,2,HM,93.95833333333334
264179,2,2,HM,105.76666666666665
264179,2,3,HM,97.01666666666668
264179,2,3,HM,108.93333333333334
264179,2,4,HM,102.63333333333334
264179,2,4,HM,117.50833333333333
264179,2,5,HM,121.17500000000001
264179,2,5,HM,119.33333333333334
264179,1,1,HM,119.25
264179,1,0,HM,85.23333333333333
264179,1,2,HM,110.25
264179,1,2,HM,120.525
264179,1,3,HM,116.6
264179,1,3,HM,126.51666666666668
264179,1,4,HM,123.5
264179,1,4,HM,120.94999999999999
264179,1,5,HM,133.2
264179,1,5,HM,122.73333333333332
268624,2,1,HM,107.64166666666668
268624,2,0,HM,84.10000000000001
268624,2,2,HM,101.65
268624,2,2,HM,106.08333333333331
268624,2,3,HM,111.59166666666667
268624,2,3,HM,114.05833333333334
268624,2,4,HM,106.29166666666667
268624,2,4,HM,113.15833333333335
268624,2,5,HM,126.8
268624,1,1,HM,121.8
268624,1,0,HM,99.4
268624,1,0,HM,142.53333333333333
268624,1,2,HM,114.6
268624,1,2,HM,124.18333333333331
268624,1,3,HM,118.96666666666667
268624,1,3,HM,126.9
268624,1,4,HM,152.41666666666666
268624,1,4,HM,130.725
271794,2,1,HM,107.31666666666666
271794,2,0,HM,118.91666666666666
271794,2,0,HM,81.35833333333335
271794,2,2,HM,100.5
271794,2,2,HM,109.75
271794,2,3,HM,107.88333333333333
271794,2,3,HM,112.03333333333332
271794,2,4,HM,114.16666666666669
271794,2,4,HM,121.58333333333331
271794,2,5,HM,109.85000000000001
271794,2,5,HM,128.025
271794,1,1,HM,118.58333333333333
271794,1,0,HM,116.96666666666668
271794,1,2,HM,118.95
271794,1,2,HM,123.51666666666668
271794,1,3,HM,125.78333333333332
271794,1,3,HM,124.225
271794,1,4,HM,111.2
271794,1,4,HM,126.41666666666669
274441,2,1,HM,98.71666666666668
274441,2,0,HM,110.41666666666669
274441,2,0,HM,83.08333333333333
274441,2,2,HM,106.73333333333332
274441,2,2,HM,106.86666666666666
274441,2,3,HM,109.86666666666666
274441,2,3,HM,113.975
274441,2,4,HM,120.725
274441,2,4,HM,115.65
274441,2,5,HM,122.94999999999999
274441,2,5,HM,117.92500000000001
274441,1,1,HM,133.19166666666666
274441,1,2,HM,120.375
274441,1,2,HM,124.25
274441,1,3,HM,128.61666666666667
274441,1,3,HM,134.06666666666666
274441,1,4,HM,132.3
274441,1,4,HM,138.65
