meeting_id,min_time
86144,239.80833333333334
86145,203.03333333333333
91941,264.325
97084,217.03333333333336
104796,237.31666666666663
104938,238.50833333333333
105147,231.96666666666667
105226,265.65
107579,254.66666666666663
117156,219.375
117803,252.17499999999995
118810,241.33333333333331
118857,220.61666666666667
118874,248.875
120138,251.25
120140,219.01666666666665
120669,255.41666666666663
125825,237.4
134454,250.35
134477,250.99166666666665
134512,251.8
134995,258.1166666666667
135173,206.7
141984,257.4666666666667
148294,225.78333333333333
149621,216.41666666666663
149685,237.64166666666665
150185,262.3
151315,246.175
151325,250.56666666666666
154291,244.68333333333334
162515,247.05
166664,243.78333333333333
166681,241.94166666666666
166716,280.9166666666667
166876,260.625
166900,208.91666666666663
167118,238.65
167696,237.35
171678,269.89166666666665
177416,220.29166666666669
181388,229.34999999999997
182611,216.08333333333331
182692,244.85
182784,250.13333333333333
195956,251.05833333333334
199104,226.91666666666663
199677,238.9083333333333
201072,238.41666666666663
201121,249.4833333333333
202629,215.4
206859,271.96666666666664
217574,253.41666666666666
217580,218.56666666666663
217741,254.29166666666666
217772,214.2
219600,221.31666666666666
220934,253.31666666666663
226082,250.9333333333333
226631,210.56666666666663
227882,256.5416666666667
228247,239.65
234297,252.44166666666666
240024,251.44166666666666
240904,237.61666666666667
242344,203.20833333333331
243446,281.8333333333333
244717,237.875
245718,278.4166666666667
258711,209.575
261917,245.0
263025,252.96666666666667
