bin,xval,yval,dx
0,77.77454,0.00000,2.12259
1,79.89713,0.00007,2.12259
2,82.01971,0.00015,2.12259
3,84.14230,0.00015,2.12259
4,86.26489,0.00020,2.12259
5,88.38748,0.00030,2.12259
6,90.51007,0.00035,2.12259
7,92.63266,0.00042,2.12259
8,94.75525,0.00052,2.12259
9,96.87784,0.00057,2.12259
10,99.00043,0.00073,2.12259
11,101.12302,0.00102,2.12259
12,103.24561,0.00156,2.12259
13,105.36820,0.00237,2.12259
14,107.49079,0.00343,2.12259
15,109.61338,0.00446,2.12259
16,111.73597,0.00600,2.12259
17,113.85856,0.00802,2.12259
18,115.98115,0.01034,2.12259
19,118.10374,0.01301,2.12259
20,120.22633,0.01596,2.12259
21,122.34892,0.01970,2.12259
22,124.47150,0.02414,2.12259
23,126.59409,0.02979,2.12259
24,128.71668,0.03604,2.12259
25,130.83927,0.04367,2.12259
26,132.96186,0.05297,2.12259
27,135.08445,0.06171,2.12259
28,137.20704,0.07292,2.12259
29,139.32963,0.08652,2.12259
30,141.45222,0.10088,2.12259
31,143.57481,0.11617,2.12259
32,145.69740,0.13374,2.12259
33,147.81999,0.15176,2.12259
34,149.94258,0.17094,2.12259
35,152.06517,0.19214,2.12259
36,154.18776,0.21576,2.12259
37,156.31035,0.24158,2.12259
38,158.43294,0.26915,2.12259
39,160.55553,0.29720,2.12259
40,162.67812,0.32795,2.12259
41,164.80071,0.35965,2.12259
42,166.92329,0.39154,2.12259
43,169.04588,0.42464,2.12259
44,171.16847,0.45793,2.12259
45,173.29106,0.49068,2.12259
46,175.41365,0.52577,2.12259
47,177.53624,0.56111,2.12259
48,179.65883,0.59563,2.12259
49,181.78142,0.62996,2.12259
50,183.90401,0.66240,2.12259
51,186.02660,0.69192,2.12259
52,188.14919,0.72091,2.12259
53,190.27178,0.74686,2.12259
54,192.39437,0.76917,2.12259
55,194.51696,0.78859,2.12259
56,196.63955,0.80542,2.12259
57,198.76214,0.82259,2.12259
58,200.88473,0.83775,2.12259
59,203.00732,0.85226,2.12259
60,205.12991,0.86665,2.12259
61,207.25250,0.87888,2.12259
62,209.37508,0.89068,2.12259
63,211.49767,0.90203,2.12259
64,213.62026,0.91274,2.12259
65,215.74285,0.92273,2.12259
66,217.86544,0.93126,2.12259
67,219.98803,0.93893,2.12259
68,222.11062,0.94566,2.12259
69,224.23321,0.95125,2.12259
70,226.35580,0.95621,2.12259
71,228.47839,0.96084,2.12259
72,230.60098,0.96463,2.12259
73,232.72357,0.96797,2.12259
74,234.84616,0.97087,2.12259
75,236.96875,0.97366,2.12259
76,239.09134,0.97603,2.12259
77,241.21393,0.97870,2.12259
78,243.33652,0.98081,2.12259
79,245.45911,0.98300,2.12259
80,247.58170,0.98512,2.12259
81,249.70429,0.98665,2.12259
82,251.82687,0.98829,2.12259
83,253.94946,0.98968,2.12259
84,256.07205,0.99105,2.12259
85,258.19464,0.99234,2.12259
86,260.31723,0.99342,2.12259
87,262.43982,0.99438,2.12259
88,264.56241,1.00000,2.12259
